serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
B10625083772,00:0B:C2:19:CF:40,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083774,00:0B:C2:19:CF:44,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083775,00:0B:C2:19:CF:46,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083778,00:0B:C2:19:CF:4C,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083779,00:0B:C2:19:CF:4E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083780,00:0B:C2:19:CF:50,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083781,00:0B:C2:19:CF:52,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083782,00:0B:C2:19:CF:54,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083784,00:0B:C2:19:CF:58,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083785,00:0B:C2:19:CF:5A,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083788,00:0B:C2:19:CF:60,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083789,00:0B:C2:19:CF:62,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083791,00:0B:C2:19:CF:66,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083796,00:0B:C2:19:CF:70,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083797,00:0B:C2:19:CF:72,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083803,00:0B:C2:19:CF:7E,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083804,00:0B:C2:19:CF:80,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083812,00:0B:C2:19:CF:90,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083818,00:0B:C2:19:CF:9C,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083823,00:0B:C2:19:CF:A6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083825,00:0B:C2:19:CF:AA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083828,00:0B:C2:19:CF:B0,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083834,00:0B:C2:19:CF:BC,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083835,00:0B:C2:19:CF:BE,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083836,00:0B:C2:19:CF:C0,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083838,00:0B:C2:19:CF:C4,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083839,00:0B:C2:19:CF:C6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083842,00:0B:C2:19:CF:CC,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083843,00:0B:C2:19:CF:CE,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083845,00:0B:C2:19:CF:D2,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083847,00:0B:C2:19:CF:D6,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083856,00:0B:C2:19:CF:E8,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083857,00:0B:C2:19:CF:EA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083859,00:0B:C2:19:CF:EE,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
B10625083865,00:0B:C2:19:CF:FA,M300,ACTIVATED,CFG-0001-0100-HE-20230223-FTPS_AGC-v1.tar.gz,648be952a640f0d00f5da9f12854477f,215
