"Device class         ","Serial number        ","MAC_ETH              ",DAK-PW,Manufacturer,Device type,Date of manufacture
PLC-Head-End,C10625053009,00:0B:C2:19:B0:5F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053010,00:0B:C2:19:B0:61,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053011,00:0B:C2:19:B0:63,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053012,00:0B:C2:19:B0:65,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053013,00:0B:C2:19:B0:67,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053014,00:0B:C2:19:B0:69,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053015,00:0B:C2:19:B0:6B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053016,00:0B:C2:19:B0:6D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053017,00:0B:C2:19:B0:6F,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053018,00:0B:C2:19:B0:71,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053019,00:0B:C2:19:B0:73,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053020,00:0B:C2:19:B0:75,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053021,00:0B:C2:19:B0:77,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053022,00:0B:C2:19:B0:79,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053023,00:0B:C2:19:B0:7B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053024,00:0B:C2:19:B0:7D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053040,00:0B:C2:19:B0:9D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053042,00:0B:C2:19:B0:A1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053048,00:0B:C2:19:B0:AD,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053084,00:0B:C2:19:B0:F5,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053094,00:0B:C2:19:B1:09,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053120,00:0B:C2:19:B1:3D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053136,00:0B:C2:19:B1:5D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053149,00:0B:C2:19:B1:77,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053150,00:0B:C2:19:B1:79,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053151,00:0B:C2:19:B1:7B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053152,00:0B:C2:19:B1:7D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053153,00:0B:C2:19:B1:7F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053154,00:0B:C2:19:B1:81,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053155,00:0B:C2:19:B1:83,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053156,00:0B:C2:19:B1:85,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053157,00:0B:C2:19:B1:87,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053158,00:0B:C2:19:B1:89,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053159,00:0B:C2:19:B1:8B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053160,00:0B:C2:19:B1:8D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053161,00:0B:C2:19:B1:8F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053162,00:0B:C2:19:B1:91,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053163,00:0B:C2:19:B1:93,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053165,00:0B:C2:19:B1:97,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053166,00:0B:C2:19:B1:99,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053167,00:0B:C2:19:B1:9B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053168,00:0B:C2:19:B1:9D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053177,00:0B:C2:19:B1:AF,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053183,00:0B:C2:19:B1:BB,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053202,00:0B:C2:19:B1:E1,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053222,00:0B:C2:19:B2:09,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053223,00:0B:C2:19:B2:0B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053224,00:0B:C2:19:B2:0D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053225,00:0B:C2:19:B2:0F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053226,00:0B:C2:19:B2:11,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053227,00:0B:C2:19:B2:13,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053228,00:0B:C2:19:B2:15,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053229,00:0B:C2:19:B2:17,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053230,00:0B:C2:19:B2:19,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053232,00:0B:C2:19:B2:1D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053233,00:0B:C2:19:B2:1F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053234,00:0B:C2:19:B2:21,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053235,00:0B:C2:19:B2:23,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053236,00:0B:C2:19:B2:25,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053237,00:0B:C2:19:B2:27,n.a.,Corinex,CXP-GPH,20250530
PLC-Head-End,C10625053238,00:0B:C2:19:B2:29,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053239,00:0B:C2:19:B2:2B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053240,00:0B:C2:19:B2:2D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053241,00:0B:C2:19:B2:2F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053242,00:0B:C2:19:B2:31,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053243,00:0B:C2:19:B2:33,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053244,00:0B:C2:19:B2:35,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053245,00:0B:C2:19:B2:37,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053246,00:0B:C2:19:B2:39,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053247,00:0B:C2:19:B2:3B,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053248,00:0B:C2:19:B2:3D,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053249,00:0B:C2:19:B2:3F,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053250,00:0B:C2:19:B2:41,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053251,00:0B:C2:19:B2:43,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053252,00:0B:C2:19:B2:45,n.a.,Corinex,CXP-GPH,20250528
PLC-Head-End,C10625053253,00:0B:C2:19:B2:47,n.a.,Corinex,CXP-GPH,20250528
