serialNumber,macAddress,type,registrationStatus,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
ECRX3623000071,000BC217143A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000072,000BC217143B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000073,000BC217143C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000074,000BC217143D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000075,000BC217143E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000076,000BC217143F,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000077,000BC2171440,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000078,000BC2171441,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000079,000BC2171442,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000080,000BC2171443,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000081,000BC2171444,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000082,000BC2171445,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000083,000BC2171446,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000084,000BC2171447,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000085,000BC2171448,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000086,000BC2171449,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000087,000BC217144A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000088,000BC217144B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000089,000BC217144C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000090,000BC217144D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000091,000BC217144E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000092,000BC217144F,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000093,000BC2171450,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000094,000BC2171451,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000095,000BC2171452,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000096,000BC2171453,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000097,000BC2171454,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000098,000BC2171455,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000099,000BC2171456,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000100,000BC2171457,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000101,000BC2171458,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000102,000BC2171459,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000103,000BC217145A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000104,000BC217145B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000105,000BC217145C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000106,000BC217145D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000107,000BC217145E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000108,000BC217145F,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000109,000BC2171460,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000110,000BC2171461,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000111,000BC2171462,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000112,000BC2171463,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000113,000BC2171464,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000114,000BC2171465,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000115,000BC2171466,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000116,000BC2171467,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000117,000BC2171468,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000118,000BC2171469,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000119,000BC217146A,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000120,000BC217146B,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000121,000BC217146C,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000122,000BC217146D,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX3623000123,000BC217146E,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000003,000BC216FDB6,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000007,000BC216FDBA,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000009,000BC216FDBC,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000011,000BC216FDBE,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000012,000BC216FDBF,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000014,000BC216FDC1,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000015,000BC216FDC2,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
ECRX1823000023,000BC216FDCA,R310,ACTIVATED,CFG-0001-0100-EBRO-20230223-FTPS-v1.tar.gz123,f09ffd00e02bf9ad2108ea5199d46222,19533
